Acinetobacter baumannii
Bacillus anthracis
Bordetella pertussis
Brucella melitensis
Brucella spp.
Burkholderia mallei (FLI)
Burkholderia pseudomallei
Campylobacter jejuni/coli
Clostridioides difficile
Clostridium perfringens
Corynebacterium diphtheriae
Cronobacter sakazakii/malonaticus
Enterococcus faecalis
Enterococcus faecium
Escherichia coli
Francisella tularensis
Klebsiella pneumoniae/variicola/quasipneumoniae
Legionella pneumophila
Listeria monocytogenes
Mycobacterium tuberculosis/bovis/africanum/canettii
Mycobacteroides abscessus
Mycoplasma gallisepticum
Paenibacillus larvae
Pseudomonas aeruginosa
Salmonella enterica
Serratia marcescens
Staphylococcus aureus
Staphylococcus capitis
Streptococcus pyogenes
